SPY (SPDR S&P 500 ETF Trust),283.65,7.99
Apr 14 2020 @ 14:59 ET,Bid,283.65,Ask,283.66,Size,17x8,Vol,90068093
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int,Strike,Puts,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int
04/15/2020,SPY200415C00115000,0,0,168.4,168.9,0,0.05,1,0.0005,0,115.000,SPY200415P00115000,0.01,0,0,0.01,0,4.7906,-0.0002,0,1554
04/15/2020,SPY200415C00120000,0,0,163.41,163.8,0,0.02,1,0.0006,0,120.000,SPY200415P00120000,0.01,0,0,0.01,0,4.5522,-0.0002,0,2631
04/15/2020,SPY200415C00125000,0,0,158.4,158.8,0,0.02,1,0.0006,0,125.000,SPY200415P00125000,0.02,0,0,0.01,0,4.4742,-0.0002,0,1503
04/15/2020,SPY200415C00130000,0,0,153.4,153.8,0,10.8969,0.9467,0.0006,0,130.000,SPY200415P00130000,0.01,0,0,0.01,0,4.2845,-0.0003,0,4952
04/15/2020,SPY200415C00135000,0,0,148.4,148.83,0,0.02,1,0.0007,0,135.000,SPY200415P00135000,0.01,0,0,0.01,0,4.001,-0.0002,0,1769
04/15/2020,SPY200415C00140000,0,0,143.4,143.88,0,0.05,0.9999,0.0007,0,140.000,SPY200415P00140000,0.01,0,0,0.01,0,4.001,-0.0004,0,6060
04/15/2020,SPY200415C00145000,0,0,138.4,138.83,0,0.02,1,0.0008,0,145.000,SPY200415P00145000,0.01,0,0,0.01,0,3.751,-0.0003,0,1155
04/15/2020,SPY200415C00150000,0,0,133.4,133.8,0,0.02,1,0.0001,2,150.000,SPY200415P00150000,0.01,0,0,0.01,0,3.501,-0.0003,0,8673
04/15/2020,SPY200415C00155000,0,0,128.4,128.83,0,0.02,1,0.0009,0,155.000,SPY200415P00155000,0.01,0,0,0.01,0,3.251,-0.0002,0,1331
04/15/2020,SPY200415C00160000,110.08,0,123.4,123.83,0,0.02,1,0.0009,1,160.000,SPY200415P00160000,0.01,0,0,0.01,0,3.251,-0.0004,0,6068
04/15/2020,SPY200415C00165000,0,0,118.39,118.83,0,0.02,1,0.0009,0,165.000,SPY200415P00165000,0.01,0,0,0.01,0,2.9139,-0.0002,0,5564
04/15/2020,SPY200415C00170000,0,0,113.4,113.8,0,0.02,1,0.001,0,170.000,SPY200415P00170000,0.01,0,0,0.01,0,2.7638,-0.0002,0,3207
04/15/2020,SPY200415C00175000,82.15,0,108.4,108.83,0,0.02,1,0.0011,1,175.000,SPY200415P00175000,0.01,0.005,0,0.01,20,2.6378,-0.0003,0,3425
04/15/2020,SPY200415C00180000,0,0,103.41,103.8,0,0.02,1,0.0011,2,180.000,SPY200415P00180000,0.01,0,0,0.01,0,2.521,-0.0003,0,8429
04/15/2020,SPY200415C00185000,72.35,0,98.41,98.8,0,0.05,0.9999,0.0012,4,185.000,SPY200415P00185000,0.01,0,0,0.01,0,2.3725,-0.0004,0,2561
04/15/2020,SPY200415C00190000,0,0,93.41,93.8,0,0.02,1,0.0013,1,190.000,SPY200415P00190000,0.01,0.005,0,0.01,6,2.2471,-0.0004,0,5464
04/15/2020,SPY200415C00195000,70.85,0,88.41,88.8,0,0.02,1,0.0013,16,195.000,SPY200415P00195000,0.01,0,0,0.01,0,2.141,-0.0005,0.0001,3049
04/15/2020,SPY200415C00200000,81.41,5.55,83.48,83.76,10,0.02,1,0.0014,161,200.000,SPY200415P00200000,0.01,0.005,0,0.01,23,2.001,-0.0005,0.0001,8309
04/15/2020,SPY200415C00201000,0,0,82.49,82.74,0,0.05,0.9999,0.0014,25,201.000,SPY200415P00201000,0.02,0,0,0.01,0,2.001,-0.0006,0.0001,610
04/15/2020,SPY200415C00202000,0,0,81.45,81.74,0,0.05,0.9999,0.0014,20,202.000,SPY200415P00202000,0.01,0,0,0.01,0,2.001,-0.0007,0.0001,437
